"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
118935,38746,201170,111315,25462,262143,57741.7,103.18,117.12,274.23,140.03,15.2609
144057,52315,180463,104696,21204,262143,51364.6,158.12,157.38,268.29,230.48,15.4982
123659,41996,192973,107059,21823,262143,34578.4,134.67,131.76,251.46,170.18,15.8442
127041,42434,196205,108670,24274,262143,45140.9,127.3,159.82,236.61,190.28,16.323
123607,42010,192828,120874,24829,262143,57911.4,163.48,185.44,332.64,205.69,16.3502
136641,46562,192322,116172,25601,262143,37400.3,107.87,142.74,281.16,136.68,16.5031
116069,38594,197095,118281,26788,262143,92847.3,152.09,174.46,310.86,181.57,17.5834
162625,60705,175567,95088,26078,238963,21951.3,274.03,186.66,197.01,248.57,17.6176
146209,51478,186136,103467,20997,262143,37386.2,156.78,185.44,265.32,192.29,17.6377
135873,45334,196422,68078.4,14557,262143,21241.3,365.15,274.5,190.08,322.94,17.6638
136864,49039,182906,102537,20846,262143,38092.1,162.81,140.3,252.45,175.54,17.689
128153,41391,202909,114909,24561,262143,28818.3,168.84,147.62,278.19,193.63,17.7845
129501,43413,195494,119299,23277,262143,40887.8,126.63,187.88,300.96,177.55,17.8077
126549,41879,198035,107452,21885,262143,41944.3,136.68,185.44,302.94,182.24,17.9726
119524,40217,194772,124772,26532,262143,47961.9,160.8,157.38,293.04,209.71,17.9988
122850,41311,194890,113511,23462,262143,24963.2,148.74,137.86,324.72,190.95,18.1346
126552,42012,197413,104515,21350,262143,32913.9,126.63,76.86,248.49,138.02,18.1648
129066,44059,191981,107472,20817,262143,53441.1,116.58,151.28,265.32,184.92,18.3187
125949,38006,217182,113556,23886,262143,34215.8,92.46,181.78,302.94,146.73,18.7864
142662,50820,183973,108742,21281,262143,43381.5,106.53,158.6,250.47,156.11,18.8387
128371,45547,184709,117836,23550,262143,54107.7,159.46,165.92,283.14,207.03,19.7027
135896,46748,190513,121844,25270,262143,38782,138.69,180.56,274.23,190.95,19.7258
133018,46115,189038,116000,27777,262143,55908.6,142.04,152.5,295.02,187.6,19.8113
125899,40611,203169,114126,23452,262143,55898.4,137.35,183,288.09,198.99,19.8345
126333,44935,184251,119087,25532,262143,34767.2,138.02,198.86,271.26,164.15,20.2177
127865,43069,194566,116614,24711,262143,37581.1,113.9,165.92,286.11,178.89,20.2388
139269,49766,183402,100613,23300,262143,38304.3,152.76,159.82,217.8,206.36,20.265
124473,39622,205883,121324,27597,262143,46884.2,133.33,180.56,269.28,172.19,21.0536
140771,40701,226667,129852,22864,262143,24313.7,113.9,132.98,210.87,134.67,21.0717
119667,39734,197376,124948,29617,262143,46138.8,140.7,172.02,272.25,171.52,21.5696
124780,42118,194159,111895,25741,262143,60631.3,111.22,135.42,295.02,132.66,22.0956
137188,48266,186275,129393,29249,262143,41924.1,135.34,165.92,331.65,160.8,22.9818
122493,42104,190663,102602,23926,262143,36976.1,100.5,141.52,294.03,129.31,23.021
105751,34791,199204,106768,24412,262143,75415.7,130.65,130.54,302.94,147.4,23.868
118506,34543,224832,129343,25584,262143,40757.5,108.54,206.18,328.68,176.88,23.8881
125595,43078,191072,117826,26492,262143,37204.4,135.34,154.94,237.6,158.79,23.9394
136302,46229,193227,108301,23905,262143,36842.8,142.71,147.62,281.16,203.68,23.9937
129056,43237,195615,120907,25944,262143,58592.1,80.4,178.12,250.47,140.7,24.039
127036,41687,199713,105052,27651,248985,24736.9,144.05,113.46,301.95,164.82,24.389
138637,49331,184179,116960,23299,262143,48696.1,142.71,176.9,278.19,219.09,24.4081
62184.2,36979,110206,2952.4,1396,138602,371.68,30.15,15.86,26.73,20.1,24.6002
125289,41956,195704,112421,23825,262143,42440.2,144.72,128.1,270.27,188.94,25.1213
119960,40370,194741,115321,25296,262143,46103.5,155.44,172.02,252.45,177.55,25.1384
145036,52339,181607,108280,24808,262143,30109.1,150.75,172.02,245.52,186.93,25.4783
117229,36985,207726,124397,27042,262143,48750.7,129.31,162.26,294.03,191.62,25.6302
122025,40242,198724,108040,25529,262143,38067.9,135.34,109.8,214.83,221.1,25.6604
124906,41980,194994,112305,22002,262143,44702.6,123.95,169.58,282.15,180.9,26.4892
121460,40955,194359,120163,26852,262143,44183.5,160.13,168.36,245.52,190.28,26.8966
149538,54174,180901,78254.5,19222,262143,15627.7,336.34,256.2,176.22,298.82,26.9318
141807,50466,184153,100383,22939,262143,20925.2,138.02,141.52,190.08,178.22,27.0656
121951,39183,203971,116367,27390,262143,58823.4,131.32,157.38,284.13,166.16,27.2788
119044,37722,206821,115511,21838,262143,28249.7,119.26,175.68,297.99,184.25,27.3834
134417,46041,191333,115891,27928,262143,23486.5,152.09,170.8,238.59,176.88,27.4106
125123,42446,193189,112396,23776,262143,40987.8,138.69,150.06,242.55,207.03,27.7586
