"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
144587,51566,183758,105673,24376,262143,1950.31,160.13,146.4,246.51,207.7,17.7162
127924,43158,194254,121197,25743,262143,1580.65,123.95,173.24,274.23,182.24,17.7456
128942,45943,183930,104704,22508,262143,1647.31,144.05,132.98,269.28,196.31,17.7792
124653,43066,189691,116256,25321,262143,1604.89,129.98,158.6,249.48,174.2,17.8276
127900,44219,189558,120917,26146,262143,1642.26,122.61,95.16,304.92,173.53,17.8454
128107,43571,192689,127062,28658,262143,1242.3,121.94,156.16,287.1,170.18,17.8654
123107,39931,202046,124039,27540,262143,1510.96,140.03,223.26,304.92,203.01,18.4497
129021,41966,201485,118924,23212,262143,1572.57,137.35,143.96,299.97,176.88,18.5706
126037,43897,188167,114127,23579,262143,1810.93,111.89,135.42,286.11,144.05,18.601
117118,37299,205782,108858,21457,262143,2535.1,84.42,145.18,261.36,127.3,18.6662
128732,43058,195936,116083,25780,262143,1696.8,150.08,156.16,235.62,194.3,18.6841
123905,41782,194348,108947,24123,262143,1374.61,105.19,74.42,241.56,127.3,19.1875
130112,44604,191171,105869,23952,262143,1452.38,134.67,117.12,277.2,184.92,19.2768
120711,38538,205275,119065,29956,260483,1516.01,119.93,161.04,272.25,158.79,19.5952
129523,43295,196059,99703.3,24201,262143,1252.4,140.03,153.72,223.74,179.56,19.6194
118735,36763,211665,104314,24140,262143,1325.12,133.33,169.58,208.89,190.95,19.7791
125453,43172,190440,120077,25636,262143,1571.56,132.66,209.84,294.03,199.66,19.88
129545,43854,193594,114368,22836,262143,1696.8,117.25,168.36,283.14,172.86,20.3949
129820,43574,195252,108398,22756,262143,1380.67,86.43,117.12,243.54,133.33,20.4223
115091,36830,204795,118219,24548,262143,1835.17,140.7,140.3,290.07,182.91,20.6608
150289,56111,175534,102757,24734,262143,2841.13,83.75,119.56,221.76,118.59,21.078
111612,37486,195129,111347,24390,262143,1800.83,132.66,187.88,268.29,172.86,21.5888
134549,45059,195694,114352,24316,262143,2045.25,148.74,193.98,311.85,171.52,21.9682
125673,39370,209198,116140,24450,262143,1207.96,151.42,129.32,298.98,180.9,21.9881
129343,43675,194084,112929,24237,262143,1357.44,144.72,132.98,264.33,171.52,22.0154
125657,42534,193611,108587,24482,262143,1412.99,93.13,142.74,278.19,126.63,22.2099
127419,42655,195769,103127,22835,262143,1360.47,160.13,145.18,252.45,168.17,22.2256
116341,37799,201712,124074,26818,262143,1341.28,117.25,189.1,296.01,161.47,22.2466
143287,51831,181175,99301.9,21664,262143,1396.83,119.26,108.58,300.96,174.2,22.3959
123984,43767,185652,87725.3,21453,262143,1522.07,132.66,117.12,226.71,158.79,22.4253
122746,39438,203973,99983.9,24220,262143,1354.41,97.15,154.94,235.62,122.61,22.5367
133477,45525,192148,73315.9,15996,262143,2095.75,1114.88,333.06,208.89,631.81,23.0317
124142,43514,186969,115041,23605,262143,1764.47,112.56,178.12,276.21,184.25,23.5067
125878,42279,195122,113085,26000,262143,1366.53,123.95,112.24,284.13,198.32,24.7079
132040,48827,177225,107855,21236,262143,1055.45,133.33,161.04,243.54,153.43,24.7804
129944,44146,192905,102097,21752,262143,985.76,118.59,148.84,232.65,178.22,24.8319
123898,41909,193747,119176,24556,262143,1430.16,135.34,196.42,296.01,168.17,24.856
129972,43974,193701,107764,22148,262143,1316.03,102.51,115.9,229.68,128.64,24.8739
116802,38792,197328,118203,26056,262143,1438.24,115.91,183,314.82,188.27,24.8918
123212,40031,201714,118582,24479,262143,1363.5,129.31,172.02,277.2,156.11,24.9149
134678,49225,179304,83851.8,21059,260948,2355.32,322.94,169.58,247.5,249.91,25.4204
114564,39350,190802,112174,26452,262143,1421.07,122.61,156.16,257.4,190.28,25.6001
112750,36627,201741,125140,28362,262143,1629.13,129.98,176.9,328.68,176.21,25.8817
117748,38102,202528,118682,26922,262143,5371.18,135.34,137.86,307.89,171.52,25.8996
116685,35901,213004,119827,24987,262143,1406.93,113.9,137.86,290.07,205.69,25.9532
126804,41446,200508,119465,25872,262143,1388.75,124.62,129.32,267.3,176.88,26.0803
108333,33031,214942,105493,24648,262143,1626.1,140.7,165.92,271.26,186.93,26.1056
133033,48518,179695,108260,24160,262143,1143.32,138.02,163.48,229.68,168.84,26.1308
115974,38653,196633,108764,23944,262143,1329.16,123.95,167.14,209.88,162.81,26.9946
116627,39163,195165,122015,27803,262143,3707.71,130.65,176.9,285.12,170.85,27.0146
116479,40535,188320,123717,27775,262143,1753.36,113.9,178.12,327.69,136.68,27.5148
109823,35635,201974,110186,23643,262143,1500.86,105.19,154.94,278.19,173.53,27.5327
110892,35872,202593,111481,22632,262143,4881.33,121.94,130.54,277.2,166.16,27.5506
121972,43325,184502,125237,28697,262143,1603.88,113.9,151.28,302.94,170.18,27.5674
119704,39639,197908,107076,24149,262143,1229.17,105.19,153.72,306.9,163.48,27.5852
137151,49419,181880,106960,24649,262143,1381.68,127.3,125.66,194.04,169.51,27.6063
112432,38831,189754,107953,26916,262143,1601.86,123.28,113.46,250.47,134,27.9163
113989,37782,197723,107872,25457,262143,1382.69,93.8,131.76,268.29,137.35,27.9405
123249,39880,202538,111724,23511,262143,1048.38,138.69,115.9,229.68,146.06,27.9562
155735,57003,179048,107544,23944,262143,968.59,129.31,123.22,260.37,178.22,27.9741
123046,39598,203645,126111,30123,262143,1370.57,79.73,163.48,284.13,121.27,27.9919
116484,39330,194098,112425,22631,262143,1324.11,113.9,168.36,295.02,173.53,28.014
118149,39246,197295,111130,25193,262143,1311.99,111.22,176.9,268.29,148.74,28.0308
126794,42807,194117,113786,25859,262143,1433.19,113.9,168.36,298.98,160.13,28.0886
