"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
130537,46692,183219,79706.3,16636,262143,625.19,93.8,126.88,228.69,123.95,11.2896
114817,38064,197684,112712,25564,262143,934.25,134,150.06,224.73,184.25,11.3723
120723,42668,185425,117521,24997,262143,897.89,125.96,207.4,302.94,171.52,11.397
104832,33551,204772,120685,28446,262143,1372.59,144.05,168.36,314.82,186.93,11.6614
112084,36251,202629,119539,23675,262143,1093.83,111.22,125.66,281.16,134,11.6759
120692,41230,191843,122681,25882,262143,921.12,107.2,134.2,269.28,179.56,11.6945
109288,36658,195382,114187,23556,262143,1469.55,147.4,150.06,367.29,196.31,12.091
112288,36086,203926,122034,28034,262143,942.33,135.34,159.82,337.59,148.74,12.1158
125452,44570,184465,116487,27335,262143,952.43,95.81,108.58,288.09,127.97,12.1447
104479,34139,200567,109351,24335,262143,1147.36,93.13,129.32,297,114.57,12.1695
111239,34892,208935,112484,22434,262143,1011.01,86.43,119.56,269.28,134.67,12.1922
109743,34477,208607,112547,24403,262143,1058.48,115.91,148.84,293.04,166.16,12.3027
104509,33418,204952,104811,21926,262143,897.89,85.76,146.4,288.09,123.28,12.3286
122778,40235,199985,87844.9,20885,262143,698.92,138.69,158.6,162.36,179.56,12.3513
144986,53282,178330,72805.9,18857,253031,745.38,334.33,187.88,161.37,291.45,12.3709
103023,33677,200484,111094,25538,262143,857.49,114.57,165.92,277.2,160.8,12.3936
112441,37679,195571,106867,25096,262143,895.87,123.95,130.54,280.17,131.99,12.4484
115837,36618,207316,114474,24985,262143,935.26,136.68,201.3,304.92,171.52,12.4721
105555,34639,199708,117553,26273,262143,1055.45,113.23,139.08,247.5,165.49,12.4948
115431,36830,205400,111446,23729,262143,809.01,164.82,129.32,229.68,176.88,12.5867
133840,45882,191172,109726,22481,262143,989.8,143.38,137.86,248.49,182.91,12.6136
119504,39402,198766,113735,24605,262143,948.39,128.64,183,274.23,160.13,13.1981
111081,35700,203917,120893,27908,262143,858.5,105.19,137.86,242.55,153.43,13.2219
113722,38146,195378,107872,24864,262143,1045.35,136.01,164.7,267.3,188.94,13.4924
114693,38820,193624,115174,26883,262143,1337.24,115.91,101.26,292.05,156.78,13.7423
96246.3,29541,213520,107327,25141,262143,976.67,91.12,96.38,303.93,138.02,13.763
101577,34180,194761,109683,25686,262143,1075.65,115.24,145.18,289.08,157.45,13.7806
101493,30810,215886,114294,24824,262143,956.47,111.89,146.4,259.38,168.17,13.8157
125176,43269,189594,108252,23934,262143,998.89,85.76,103.7,237.6,114.57,13.8456
121365,42170,188612,104749,23816,262143,824.16,93.8,123.22,259.38,123.28,13.9489
114916,35837,210150,105253,21500,262143,962.53,111.89,117.12,271.26,160.13,14.0098
130395,46122,185282,120280,28406,262143,1115.04,144.05,126.88,268.29,182.24,14.1503
105730,33054,209629,120026,25257,262143,945.36,117.25,163.48,308.88,163.48,14.5262
107324,34771,202283,114082,24828,262143,831.23,125.29,119.56,288.09,176.21,14.551
113445,38489,193166,103600,23470,262143,1223.11,138.69,158.6,279.18,186.93,14.6129
110870,38071,190854,108723,27328,260731,1014.04,140.03,143.96,245.52,186.26,14.8783
111976,37162,197473,116196,25462,262143,826.18,113.9,157.38,280.17,164.82,14.898
121849,39875,200263,109372,23445,262143,1051.41,93.8,107.36,259.38,131.99,14.9775
120403,40219,196194,123104,30261,262143,1400.87,120.6,136.64,321.75,159.46,15.0012
109225,34974,204672,111426,24495,262143,1231.19,89.11,81.74,271.26,132.66,15.4463
122608,42678,188276,101084,20964,262143,1133.22,127.3,161.04,301.95,169.51,16.3531
121853,42012,190083,101832,23057,262143,963.54,101.84,103.7,265.32,115.91,16.887
113101,36710,201912,117007,24055,262143,977.68,145.39,157.38,270.27,188.27,16.9995
120023,39206,200628,116863,26872,262143,756.49,142.04,170.8,232.65,152.09,17.0264
106427,31410,222056,121258,28340,262143,1039.29,113.23,153.72,310.86,174.87,17.6347
17219.5,14629,77141.3,3713.68,2677,90915.1,60.6,-2.01,-8.54,30.69,22.78,17.9465
119528,39094,200374,113598,26076,262143,1101.91,91.12,111.02,274.23,103.18,18.2099
115743,37546,202028,105352,23084,262143,1061.51,140.03,142.74,251.46,166.83,18.2336
104198,31990,213464,117703,24796,262143,745.38,82.41,112.24,266.31,114.57,18.2522
109016,36619,195103,116894,25625,262143,950.41,127.97,161.04,286.11,152.76,19.1249
122686,40780,197165,110520,24003,262143,1075.65,144.05,137.86,258.39,194.97,19.1465
123021,39373,204768,124102,27634,262143,935.26,144.05,163.48,310.86,197.65,19.1682
142847,54614,171414,87119,21500,262143,899.91,105.19,122,209.88,144.05,19.2002
118315,39826,194694,125290,28248,262143,1117.06,125.96,132.98,265.32,174.87,19.3035
109412,34724,206497,109533,24701,262143,996.87,124.62,159.82,236.61,185.59,19.3293
110326,34045,212376,120865,26533,262143,1087.77,127.97,122,279.18,182.24,19.4068
136750,49871,179705,95056.3,20975,262143,750.43,110.55,107.36,193.05,142.71,19.6443
124359,43780,186158,107616,24060,262143,1116.05,134.67,175.68,289.08,168.17,19.7569
115600,37710,200901,105851,23701,262143,926.17,136.01,176.9,219.78,183.58,19.8715
124298,42446,191915,116055,25726,262143,1183.72,133.33,136.64,266.31,194.97,19.8963
131164,45163,190332,87671.6,22587,254379,814.06,129.31,124.44,220.77,183.58,19.9634
111191,35237,206799,119278,25341,262143,1117.06,119.26,183,289.08,164.82,19.9851
109684,33194,216552,130184,29599,262143,1320.07,117.92,184.22,269.28,182.24,20.1751
138818,50390,180544,115422,22329,262143,1281.69,131.32,150.06,288.09,151.42,20.2092
109921,38190,188629,119946,32207,244070,826.18,155.44,184.22,282.15,208.37,20.5314
112198,36253,202825,120470,25182,262143,1169.58,141.37,185.44,280.17,173.53,20.6171
122730,42733,188220,110022,23484,262143,1085.75,145.39,168.36,283.14,174.87,21.2708
15521.1,11667,87185.1,7068.68,5156,89847.4,95.95,12.73,8.54,11.88,8.71,21.3349
116334,37511,203249,121307,27073,262143,1077.67,140.7,201.3,277.2,177.55,21.6622
116149,39578,192328,116177,23372,262143,1196.85,145.39,169.58,344.52,180.9,21.6891
123468,41723,193936,115595,26369,262143,1220.08,128.64,172.02,300.96,173.53,21.8791
121085,40983,193627,108864,22240,262143,1090.8,107.87,102.48,280.17,158.12,22.0061
125525,43471,189239,115451,23654,262143,1349.36,141.37,145.18,306.9,194.3,22.7621
120590,39422,200472,117021,28092,262143,1247.35,116.58,161.04,325.71,164.15,23.0936
155768,55544,183790,69202.1,18341,247273,802.95,399.99,204.96,168.3,343.71,23.1153
124774,43030,190035,105018,23065,262143,1261.49,125.29,147.62,269.28,156.11,23.1855
107788,37111,190349,108994,24531,262143,1356.43,138.02,140.3,297,177.55,23.3755
114948,38587,195227,110218,22551,262143,950.41,126.63,165.92,258.39,161.47,23.5955
140466,49707,185197,100018,25529,256758,780.73,95.81,118.34,253.44,114.57,23.897
127142,44345,187899,117196,25232,262143,1070.6,137.35,168.36,249.48,176.88,25.2964
124088,42937,189399,120419,26125,262143,1184.73,106.53,139.08,289.08,151.42,25.3222
127200,43606,191170,101599,22298,262143,973.64,142.71,150.06,244.53,163.48,25.4895
130074,44054,193501,111087,22927,262143,1237.25,117.25,145.18,265.32,145.39,25.5112
126014,43702,188972,113266,24529,262143,1118.07,129.31,170.8,302.94,198.32,25.5391
108175,33866,209335,120708,25993,262143,1225.13,140.7,181.78,342.54,186.93,25.5504
119874,36876,213041,117047,24217,262143,995.86,139.36,140.3,282.15,178.22,25.7064
119855,39985,196444,109100,26845,262143,1054.44,132.66,143.96,282.15,173.53,25.7508
112324,37698,195269,127539,28298,262143,956.47,138.69,180.56,289.08,190.28,25.8076
98811,30554,211942,110331,24469,262143,1280.68,112.56,148.84,328.68,144.05,26.6234
132555,49027,177190,108851,21288,262143,1313,158.79,134.2,304.92,213.73,26.6554
120472,40567,194622,123779,26804,262143,1114.03,146.73,134.2,323.73,181.57,26.8279
119704,39278,199727,110139,24561,262143,1188.77,93.8,120.78,295.02,121.94,26.8537
111934,38114,192468,108131,25043,262143,3199.68,1271.66,3642.92,1060.29,1800.96,27.336
122783,41946,191835,105226,22013,262143,1045.35,123.28,142.74,280.17,141.37,27.3577
144893,52846,179687,75119.1,18225,262143,623.17,383.91,220.82,151.47,298.15,27.4547
