"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
121147,40419,196429,124452,25716,262143,14416.7,149.41,176.9,312.84,197.65,24.4038
144095,49490,190814,61703.9,15925,253930,5848.91,276.04,189.1,174.24,251.92,24.6247
119893,37518,209428,99404.4,22100,262143,11052.4,158.12,165.92,234.63,182.91,25.2016
145727,52880,180605,97001,21609,262143,15387.3,156.11,112.24,231.66,167.5,25.243
136434,46245,193347,114531,22526,262143,13501.7,113.23,141.52,247.5,134,25.367
132219,45590,190066,114488,23899,262143,14537.9,164.15,181.78,240.57,183.58,25.3852
126012,41502,198987,122055,24612,262143,19490,135.34,153.72,269.28,179.56,25.4457
126445,39978,207281,121112,24848,262143,14117.8,134,162.26,307.89,192.96,25.4971
119675,40162,195284,120096,25063,262143,18452.7,131.32,208.62,296.01,180.9,25.5143
129609,44743,189841,114879,24655,262143,14476.3,160.8,158.6,234.63,192.29,25.5345
129069,40015,211388,115048,24404,262143,13606.7,123.28,176.9,285.12,190.95,25.5536
162543,52135,204324,135721,27225,262143,6656.91,127.97,165.92,219.78,159.46,25.5677
137887,32439,262143,91215.7,19677,262143,9065.76,153.43,118.34,184.14,179.56,25.5829
130303,42551,200690,113214,25941,262143,12718.9,136.68,178.12,225.72,192.96,25.945
133679,44647,196223,115512,25097,262143,12682.6,158.79,174.46,291.06,164.82,25.9873
140389,50997,180413,116492,26089,262143,15827.7,149.41,159.82,282.15,184.25,26.0741
132213,43830,197689,121661,27025,262143,16436.7,131.32,173.24,282.15,172.86,26.4755
140364,47227,194781,110886,26716,262143,11196.9,96.48,141.52,203.94,152.09,26.6107
118942,37018,210573,112992,23265,262143,12917.9,113.9,131.76,309.87,164.82,27.0535
127582,44399,188320,123380,24420,262143,17407.3,127.97,143.96,247.5,194.97,27.1977
140960,49986,184810,98774.9,21576,262143,8504.2,125.96,124.44,229.68,202.34,27.4801
122096,41227,194089,121245,26609,262143,10734.3,168.17,176.9,271.26,209.04,27.5366
140659,51427,179249,108151,25136,262143,16090.3,115.91,142.74,296.01,190.95,27.5558
142352,48424,192656,98285.6,23227,262143,11391.8,152.09,131.76,209.88,181.57,27.5729
7495.31,8271,59389.8,62.22,85,47972.4,-21.21,-2.68,23.18,-17.82,-14.74,27.9078
130226,44266,192800,112932,23792,262143,15957,123.95,161.04,254.43,188.27,28.4776
129559,43376,195748,121655,26667,262143,14629.8,131.32,154.94,265.32,175.54,28.5008
122260,40056,200031,111442,23796,262143,14524.8,143.38,185.44,231.66,167.5,28.5271
119546,39114,200301,119994,25964,262143,12094.8,128.64,141.52,297.99,178.22,28.6995
119494,37165,210714,119861,23952,262143,12560.4,125.29,189.1,292.05,182.91,28.7308
117499,40038,192328,114048,24456,262143,13352.2,145.39,163.48,253.44,184.92,29.3541
124178,44775,181756,108836,24013,262143,12625,121.94,134.2,252.45,180.23,29.4974
122180,41982,190729,123275,25084,262143,18315.3,146.73,140.3,284.13,178.89,29.7102
137351,48152,186937,106679,22587,262143,14040,94.47,156.16,245.52,118.59,29.9755
129440,43546,194805,119376,24970,262143,12314.9,105.19,134.2,305.91,128.64,30.0501
116648,38508,198520,109501,23772,262143,22362.4,129.31,143.96,268.29,194.3,30.0935
122765,40271,199784,124175,29437,262143,12628,140.7,161.04,302.94,178.22,30.4717
125227,40082,204753,129419,27324,262143,19252.6,144.72,161.04,342.54,193.63,30.4949
5589.81,6623,55312.4,74.42,73,66810.8,-4.04,-9.38,-20.74,-3.96,-5.36,31.0043
127091,41888,198840,120099,25641,262143,14890.4,108.54,140.3,244.53,176.21,31.6266
145992,50999,187607,110661,22685,262143,12643.2,138.69,164.7,238.59,211.72,31.6468
118198,40065,193341,118012,25032,262143,15837.8,127.97,135.42,289.08,180.23,31.9272
121202,39352,201848,118816,24837,262143,11906.9,138.69,191.54,250.47,198.32,32.0795
127750,44223,189318,127730,28476,262143,15290.4,131.32,181.78,273.24,175.54,32.1228
129121,44223,191350,121444,23988,262143,13866.3,99.16,148.84,322.74,138.02,33.1748
129570,45370,187161,121828,26090,262143,14931.8,125.96,167.14,305.91,199.66,33.199
126890,42611,195157,111490,24943,262143,17488.2,150.08,150.06,297.99,201,33.4431
114906,37419,201247,119400,29393,262143,11635.2,154.77,146.4,280.17,172.19,33.4855
140687,53161,173436,101580,20616,262143,14113.7,158.79,146.4,245.52,197.65,33.55
128029,43490,192930,123874,27523,262143,22054.4,164.15,189.1,311.85,194.3,33.5722
